iter	Passed	Remaining
739	93881	32985
740	94030	32866
741	94131	32730
742	94298	32617
743	94437	32494
744	94531	32356
745	94644	32224
746	94796	32106
747	94900	31971
748	95058	31855
749	95170	31723
750	95302	31598
751	95408	31464
752	95535	31337
753	95658	31209
754	95813	31091
755	95946	30966
756	96073	30840
757	96217	30718
758	96345	30591
759	96460	30461
760	96583	30332
761	96712	30206
762	96854	30084
763	96984	29958
764	97111	29831
765	97264	29712
766	97381	29582
767	97494	29451
768	97628	29326
769	97779	29206
770	97908	29080
771	98035	28953
772	98186	28833
773	98290	28699
774	98458	28584
775	98575	28454
776	98697	28326
777	98810	28195
778	98950	28071
779	99057	27939
780	99197	27815
781	99321	27687
782	99460	27564
783	99568	27432
784	99738	27317
785	99849	27185
786	99977	27058
787	100101	26930
788	100234	26805
789	100352	26676
790	100508	26556
791	100625	26426
792	100759	26301
793	100860	26167
794	100980	26039
795	101092	25908
796	101232	25784
797	101343	25653
798	101501	25534
799	101626	25406
800	101779	25285
801	101873	25150
802	102019	25028
803	102127	24896
804	102276	24774
805	102394	24645
806	102529	24520
807	102639	24389
808	102791	24268
809	102893	24135
810	103038	24012
811	103145	23880
812	103268	23753
813	103384	23623
814	103543	23503
815	103669	23376
816	103807	23251
817	103942	23126
818	104055	22996
819	104157	22863
820	104318	22744
821	104443	22616
822	104585	22492
823	104695	22362
824	104838	22238
825	104951	22108
826	105099	21985
827	105219	21857
828	105343	21729
829	105444	21597
830	105587	21473
831	105701	21343
832	105823	21215
833	105956	21089
834	106104	20966
835	106246	20842
836	106374	20715
837	106498	20588
838	106635	20462
839	106758	20335
840	106921	20214
841	107057	20089
842	107200	19964
843	107324	19837
844	107445	19708
845	107594	19585
846	107720	19458
847	107832	19328
848	107993	19207
849	108153	19085
850	108287	18959
851	108395	18829
852	108502	18698
853	108633	18571
854	108800	18451
855	108936	18325
856	109073	18200
857	109223	18076
858	109341	17947
859	109494	17824
860	109629	17698
861	109768	17573
862	109905	17447
863	110039	17320
864	110148	17190
865	110312	17069
866	110446	16942
867	110573	16815
868	110715	16690
869	110863	16565
870	110982	16437
871	111130	16312
872	111266	16186
873	111410	16061
874	111536	15933
875	111668	15807
876	111798	15679
877	111956	15556
878	112066	15426
879	112203	15300
880	112318	15171
881	112446	15043
882	112556	14914
883	112723	14791
884	112815	14659
885	112958	14534
886	113063	14403
887	113222	14280
888	113346	14152
889	113465	14023
890	113600	13897
891	113748	13772
892	113869	13643
893	113993	13515
894	114132	13389
895	114295	13266
896	114426	13139
897	114550	13011
898	114657	12881
899	114816	12757
900	114942	12629
901	115044	12499
902	115145	12368
903	115303	12244
904	115426	12116
905	115557	11989
906	115674	11860
907	115804	11733
908	115919	11604
909	116067	11479
910	116196	11351
911	116323	11224
912	116439	11095
913	116591	10970
914	116706	10841
915	116822	10712
916	116964	10586
917	117123	10462
918	117256	10334
919	117428	10211
920	117552	10083
921	117702	9957
922	117810	9828
923	117943	9700
924	118092	9575
925	118228	9448
926	118363	9320
927	118491	9193
928	118627	9066
929	118766	8939
930	118860	8809
931	119017	8683
932	119144	8555
933	119293	8429
934	119403	8300
935	119548	8174
936	119682	8046
937	119802	7918
938	119925	7790
939	120050	7662
940	120184	7535
941	120309	7407
942	120430	7279
943	120593	7153
944	120749	7027
945	120882	6900
946	120988	6771
947	121138	6644
948	121262	6516
949	121392	6389
950	121521	6261
951	121700	6136
